Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
27.000, 100.000, 100.000, 26.861, 1.262, 18.088, 18.350, 16.849
27.100, 100.000, 100.000, 26.849, 1.256, 17.999, 18.335, 16.750
27.200, 100.000, 100.000, 26.813, 1.247, 17.894, 18.322, 16.653
27.300, 100.000, 100.000, 26.771, 1.241, 17.842, 18.308, 16.583
27.400, 100.000, 100.000, 26.766, 1.236, 17.758, 18.295, 16.498
27.500, 100.000, 100.000, 26.748, 1.230, 17.727, 18.282, 16.418
27.600, 100.000, 100.000, 26.730, 1.223, 17.648, 18.269, 16.327
27.700, 100.000, 100.000, 26.724, 1.220, 17.564, 18.257, 16.259
27.800, 100.000, 100.000, 26.700, 1.215, 17.496, 18.243, 16.167
27.900, 100.000, 100.000, 26.652, 1.209, 17.412, 18.230, 16.080
28.000, 100.000, 100.000, 26.629, 1.205, 17.302, 18.218, 15.989
28.100, 100.000, 100.000, 26.593, 1.199, 17.245, 18.205, 15.917
28.200, 100.000, 100.000, 26.557, 1.191, 17.156, 18.192, 15.841
28.300, 100.000, 100.000, 26.551, 1.185, 17.108, 18.178, 15.769
28.400, 100.000, 100.000, 26.527, 1.177, 17.046, 18.166, 15.680
28.500, 100.000, 100.000, 26.498, 1.167, 16.951, 18.154, 15.604
28.600, 100.000, 100.000, 26.474, 1.164, 16.883, 18.141, 15.546
28.700, 100.000, 100.000, 26.450, 1.157, 16.815, 18.129, 15.487
28.800, 100.000, 100.000, 26.438, 1.152, 16.757, 18.117, 15.415
28.900, 100.000, 100.000, 26.420, 1.148, 16.679, 18.104, 15.330
29.000, 100.000, 100.000, 26.402, 1.144, 16.600, 18.093, 15.248
29.100, 100.000, 100.000, 26.373, 1.141, 16.506, 18.080, 15.161
29.200, 100.000, 100.000, 26.373, 1.138, 16.454, 18.069, 15.091
29.300, 100.000, 100.000, 26.355, 1.132, 16.380, 18.056, 15.023
29.400, 100.000, 100.000, 26.337, 1.125, 16.265, 18.046, 14.943
29.500, 100.000, 100.000, 26.307, 1.120, 16.218, 18.035, 14.881
29.600, 100.000, 100.000, 26.277, 1.116, 16.171, 18.023, 14.848
