Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
22.200, 100.000, 100.000, 28.844, 1.697, 28.114, 19.500, 27.038
22.300, 100.000, 100.000, 28.820, 1.689, 27.774, 19.483, 26.747
22.400, 100.000, 100.000, 28.778, 1.684, 27.412, 19.466, 26.434
22.500, 100.000, 100.000, 28.730, 1.677, 27.067, 19.448, 26.109
22.600, 100.000, 100.000, 28.695, 1.672, 26.737, 19.430, 25.808
22.700, 100.000, 100.000, 28.659, 1.663, 26.412, 19.412, 25.521
22.800, 100.000, 100.000, 28.647, 1.650, 26.066, 19.395, 25.192
22.900, 100.000, 100.000, 28.611, 1.641, 25.773, 19.378, 24.926
23.000, 100.000, 100.000, 28.599, 1.632, 25.458, 19.362, 24.606
23.100, 100.000, 100.000, 28.564, 1.625, 25.186, 19.345, 24.316
23.200, 100.000, 100.000, 28.528, 1.617, 24.929, 19.329, 24.048
23.300, 100.000, 100.000, 28.504, 1.612, 24.673, 19.314, 23.788
23.400, 100.000, 100.000, 28.469, 1.606, 24.500, 19.297, 23.568
23.500, 100.000, 100.000, 28.445, 1.594, 24.280, 19.281, 23.337
23.600, 100.000, 100.000, 28.433, 1.584, 24.112, 19.264, 23.154
23.700, 100.000, 100.000, 28.409, 1.576, 23.960, 19.246, 22.950
23.800, 100.000, 100.000, 28.379, 1.570, 23.803, 19.229, 22.756
23.900, 100.000, 100.000, 28.349, 1.559, 23.662, 19.213, 22.573
24.000, 100.000, 100.000, 28.320, 1.548, 23.525, 19.195, 22.412
24.100, 100.000, 100.000, 28.302, 1.543, 23.353, 19.179, 22.243
24.200, 100.000, 100.000, 28.248, 1.535, 23.211, 19.161, 22.086
24.300, 100.000, 100.000, 28.248, 1.528, 23.106, 19.144, 21.942
24.400, 100.000, 100.000, 28.201, 1.518, 22.954, 19.128, 21.800
24.500, 100.000, 100.000, 28.177, 1.511, 22.855, 19.112, 21.697
24.600, 100.000, 100.000, 28.141, 1.502, 22.740, 19.096, 21.573
24.700, 100.000, 100.000, 28.093, 1.494, 22.588, 19.078, 21.446
24.800, 100.000, 100.000, 28.081, 1.489, 22.483, 19.061, 21.326
24.900, 100.000, 100.000, 28.052, 1.483, 22.394, 19.045, 21.225
25.000, 100.000, 100.000, 28.004, 1.476, 22.279, 19.026, 21.093
25.100, 100.000, 100.000, 27.974, 1.467, 22.163, 19.009, 21.005
25.200, 100.000, 100.000, 27.950, 1.461, 22.059, 18.991, 20.902
25.300, 100.000, 100.000, 27.921, 1.454, 21.943, 18.973, 20.778
25.400, 100.000, 100.000, 27.867, 1.449, 21.854, 18.954, 20.685
25.500, 100.000, 100.000, 27.861, 1.442, 21.771, 18.936, 20.595
25.600, 100.000, 100.000, 27.837, 1.436, 21.676, 18.919, 20.520
25.700, 100.000, 100.000, 27.808, 1.428, 21.572, 18.902, 20.407
25.800, 100.000, 100.000, 27.760, 1.418, 21.472, 18.887, 20.325
25.900, 100.000, 100.000, 27.748, 1.412, 21.399, 18.873, 20.244
26.000, 100.000, 100.000, 27.718, 1.406, 21.320, 18.858, 20.164
26.100, 100.000, 100.000, 27.688, 1.399, 21.268, 18.842, 20.077
26.200, 100.000, 100.000, 27.683, 1.394, 21.184, 18.826, 19.987
26.300, 100.000, 100.000, 27.677, 1.388, 21.042, 18.810, 19.878
26.400, 100.000, 100.000, 27.641, 1.381, 20.985, 18.797, 19.812
26.500, 100.000, 100.000, 27.623, 1.373, 20.901, 18.782, 19.731
26.600, 100.000, 100.000, 27.593, 1.367, 20.828, 18.766, 19.663
26.700, 100.000, 100.000, 27.575, 1.358, 20.739, 18.752, 19.577
26.800, 100.000, 100.000, 27.557, 1.353, 20.686, 18.738, 19.490
26.900, 100.000, 100.000, 27.504, 1.346, 20.608, 18.724, 19.408
27.000, 100.000, 100.000, 27.480, 1.341, 20.545, 18.709, 19.334
27.100, 100.000, 100.000, 27.456, 1.333, 20.487, 18.693, 19.262
27.200, 100.000, 100.000, 27.415, 1.328, 20.435, 18.679, 19.189
27.300, 100.000, 100.000, 27.397, 1.323, 20.367, 18.662, 19.109
27.400, 100.000, 100.000, 27.373, 1.316, 20.325, 18.648, 19.043
27.500, 100.000, 100.000, 27.349, 1.313, 20.262, 18.633, 18.969
27.600, 100.000, 100.000, 27.284, 1.304, 20.215, 18.617, 18.901
27.700, 100.000, 100.000, 27.272, 1.295, 20.147, 18.603, 18.835
27.800, 100.000, 100.000, 27.272, 1.288, 20.084, 18.589, 18.771
27.900, 100.000, 100.000, 27.248, 1.284, 20.047, 18.574, 18.707
28.000, 100.000, 100.000, 27.224, 1.278, 19.979, 18.561, 18.643
