Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
11702.7559, 11702.76, -2.97, 1.78, 124.545, OUT, F2
11692.9717, 11692.97, 2.68, 2.68, 64.393, OUT, F1
11631.8174, 11631.82, 2.87, -3.58, 97.168, OUT, F0
11609.9521, 11609.95, 0.00, 3.73, 56.191, OUT, F2
11604.0615, 11604.06, -3.03, 3.63, 118.164, OUT, F0
11599.7813, 11599.78, -6.50, -1.18, 129.170, OUT, F1
11587.8916, 11587.89, 0.78, -4.70, 85.241, OUT, F1
11575.4053, 11575.41, -7.24, 1.67, 139.497, OUT, F2
11562.9873, 11562.99, 3.40, -3.40, 104.527, OUT, F2
11547.0469, 11547.05, 7.47, 4.67, 56.191, OUT, F0
11545.5791, 11545.58, 4.07, 0.00, 132.184, OUT, F0
11545.3770, 11545.38, -5.01, 1.67, 139.497, OUT, F2
11499.7451, 11499.75, 1.15, -0.58, 133.671, OUT, F1
11493.3838, 11493.38, -4.19, 3.00, 119.784, OUT, F2
11489.2266, 11489.23, -3.57, 4.75, 126.102, OUT, F2
11460.0664, 11460.07, -4.46, -1.11, 139.497, OUT, F2
11457.6045, 11457.60, -0.78, -3.13, 85.241, OUT, F1
11443.9629, 11443.96, 6.54, 1.19, 126.102, OUT, F1
11443.4248, 11443.42, 1.09, 1.64, 145.141, OUT, F1
11439.5244, 11439.52, -3.46, 0.58, 133.671, OUT, F1
11421.2451, 11421.25, -1.34, -6.03, 106.304, OUT, F0
11418.4902, 11418.49, 2.38, -1.19, 126.102, OUT, F2
11384.5127, 11384.51, -5.77, -2.88, 133.671, OUT, F1
11380.8340, 11380.83, 2.12, 4.24, 99.047, OUT, F2
11369.9521, 11369.95, -3.11, 4.98, 114.872, OUT, F2
11311.4307, 11311.43, -7.86, 1.12, 138.058, OUT, F0
11306.0742, 11306.07, 0.74, 4.42, 93.323, OUT, F1
11297.2031, 11297.20, 0.59, -0.59, 124.545, OUT, F2
11277.7451, 11277.75, 1.61, -1.07, 150.621, OUT, F0
11223.1709, 11223.17, 3.24, 4.05, 80.970, OUT, F2
11215.9014, 11215.90, 4.55, -5.30, 89.352, OUT, F2
11214.5166, 11214.52, -1.78, 0.00, 126.102, OUT, F2
11191.6621, 11191.66, 2.09, 0.52, 155.952, OUT, F1
11180.4072, 11180.41, -1.84, 1.84, 116.527, OUT, F1
11175.1357, 11175.14, -5.82, -1.16, 132.184, OUT, F0
11163.6396, 11163.64, 0.00, -4.19, 100.899, OUT, F2
11157.4746, 11157.47, -3.21, -3.85, 111.506, OUT, F1
11149.8525, 11149.85, 3.22, -0.54, 150.621, OUT, F0
11145.6865, 11145.69, 4.07, -4.07, 132.184, OUT, F1
11102.7295, 11102.73, 1.09, 0.55, 145.141, OUT, F1
11077.2119, 11077.21, 4.79, -3.60, 119.784, OUT, F2
11075.8955, 11075.90, 4.92, -1.09, 145.141, OUT, F1
11072.4141, 11072.41, 0.00, -4.76, 122.974, OUT, F0
11063.1514, 11063.15, -4.65, -1.16, 132.184, OUT, F0
11060.0674, 11060.07, 1.34, 4.69, 106.304, OUT, F0
11050.2891, 11050.29, 6.53, 4.67, 56.191, OUT, F0
11050.2637, 11050.26, 5.57, -1.11, 139.497, OUT, F2
11024.7998, 11024.80, -1.19, 0.59, 124.545, OUT, F2
11021.9385, 11021.94, -2.38, -0.59, 126.102, OUT, F2
11004.7900, 11004.79, 4.13, 2.75, 102.725, OUT, F1
10959.0957, 10959.10, -0.71, 2.83, 99.047, OUT, F2
10953.5352, 10953.54, 2.49, 3.11, 114.872, OUT, F2
10947.2324, 10947.23, -5.24, -1.75, 132.184, OUT, F0
10939.3545, 10939.35, 2.75, -3.44, 102.725, OUT, F1
10930.6953, 10930.70, 3.98, 3.98, 83.127, OUT, F1
10918.4287, 10918.43, 1.57, 4.70, 85.241, OUT, F1
10912.5361, 10912.54, -4.24, 2.42, 118.164, OUT, F0
10896.9775, 10896.98, 5.94, -2.38, 126.102, OUT, F1
10885.3379, 10885.34, 1.75, -2.33, 132.184, OUT, F0
10874.3662, 10874.37, -1.78, 1.19, 126.102, OUT, F2
10856.4531, 10856.45, 2.49, -2.49, 114.872, OUT, F2
10838.3662, 10838.37, -1.12, -2.81, 138.058, OUT, F0
10831.0938, 10831.09, 2.94, -4.42, 93.323, OUT, F2
10830.7500, 10830.75, -1.75, -2.91, 132.184, OUT, F0
10828.0566, 10828.06, 3.29, -1.10, 143.746, OUT, F1
10827.0654, 10827.07, -3.57, 4.16, 122.974, OUT, F0
10824.6768, 10824.68, -2.57, 3.85, 111.506, OUT, F0
10814.2861, 10814.29, -4.16, -3.57, 122.974, OUT, F0
10811.9873, 10811.99, -3.35, -2.68, 106.304, OUT, F1
10777.3369, 10777.34, -3.57, 0.59, 126.102, OUT, F2
10746.1885, 10746.19, -3.49, -4.88, 100.899, OUT, F2
10723.3945, 10723.39, -2.09, 4.19, 100.899, OUT, F2
10711.9844, 10711.98, -4.75, -1.78, 126.102, OUT, F2
10704.3711, 10704.37, 3.85, -1.28, 111.506, OUT, F0
10693.6592, 10693.66, 4.05, -4.05, 80.970, OUT, F2
10674.9600, 10674.96, -0.67, -1.34, 106.304, OUT, F1
10655.6338, 10655.63, 1.62, -5.67, 80.970, OUT, F2
10650.0508, 10650.05, 0.00, 4.56, 109.793, OUT, F0
10627.2188, 10627.22, 0.00, 1.15, 133.671, OUT, F1
10613.6855, 10613.69, 2.31, -5.39, 87.315, OUT, F0
10598.8232, 10598.82, 4.25, 4.25, 74.217, OUT, F0
10563.7158, 10563.72, -4.84, 1.82, 118.164, OUT, F0
10557.9131, 10557.91, -4.75, 2.97, 126.102, OUT, F0
10552.8057, 10552.81, -5.01, -1.11, 139.497, OUT, F2
10549.1367, 10549.14, 3.85, 5.13, 111.506, OUT, F0
10541.7979, 10541.80, 6.88, -2.75, 102.725, OUT, F1
10540.1992, 10540.20, 0.00, 1.20, 119.784, OUT, F2
10531.0723, 10531.07, -5.35, -2.38, 126.102, OUT, F2
10519.8389, 10519.84, -0.59, 2.38, 126.102, OUT, F1
10512.4717, 10512.47, 4.91, -4.91, 116.527, OUT, F1
10507.6846, 10507.68, -1.23, 3.68, 116.527, OUT, F1
10506.7705, 10506.77, -1.34, -1.34, 106.304, OUT, F1
10494.8682, 10494.87, -2.81, -0.56, 138.058, OUT, F0
10480.8223, 10480.82, 1.32, 5.29, 108.060, OUT, F0
10477.7031, 10477.70, 0.80, -4.78, 83.127, OUT, F1
10473.1162, 10473.12, 0.00, 0.59, 124.545, OUT, F2
10459.8525, 10459.85, 5.94, -1.78, 126.102, OUT, F2
10457.0029, 10457.00, 4.19, 4.19, 100.899, OUT, F2
10452.1123, 10452.11, -3.00, -2.40, 119.784, OUT, F2
10451.3057, 10451.31, -6.75, -2.08, 157.262, OUT, F2
10417.5840, 10417.58, -1.84, 3.07, 116.527, OUT, F1
10390.5586, 10390.56, -4.16, 3.57, 124.545, OUT, F0
10315.9170, 10315.92, -4.84, -4.24, 118.164, OUT, F0
10299.6563, 10299.66, -1.68, 2.81, 138.058, OUT, F0
10296.5967, 10296.60, 1.19, 0.00, 126.102, OUT, F2
10293.0449, 10293.04, 4.75, -4.75, 104.527, OUT, F2
10279.6729, 10279.67, -3.93, 0.00, 138.058, OUT, F0
10268.8525, 10268.85, -2.97, 4.16, 126.102, OUT, F1
10265.5137, 10265.51, 3.82, 0.55, 145.141, OUT, F1
10245.5381, 10245.54, 0.81, 4.05, 80.970, OUT, F2
10230.7119, 10230.71, -4.92, 1.64, 145.141, OUT, F1
10215.8584, 10215.86, -2.38, -1.78, 126.102, OUT, F2
10207.2627, 10207.26, -2.38, 0.59, 126.102, OUT, F2
10191.6445, 10191.64, 5.09, 5.94, 74.217, OUT, F0
10186.0889, 10186.09, -6.17, -2.24, 138.058, OUT, F0
10185.2432, 10185.24, -1.23, 2.46, 116.527, OUT, F1
10178.1494, 10178.15, -1.90, 0.63, 113.199, OUT, F1
10149.2061, 10149.21, -3.40, -3.40, 104.527, OUT, F2
10143.6855, 10143.69, -6.85, -0.53, 154.632, OUT, F0
10137.5781, 10137.58, -2.97, -2.97, 126.102, OUT, F0
10117.1250, 10117.13, -4.76, 4.16, 122.974, OUT, F0
10093.2285, 10093.23, 4.92, 0.00, 145.141, OUT, F1
10083.3428, 10083.34, 3.79, 4.55, 89.352, OUT, F2
10082.3955, 10082.40, 6.16, -0.77, 87.315, OUT, F0
10074.4941, 10074.49, -2.09, -3.49, 100.899, OUT, F2
10062.3867, 10062.39, -7.13, 1.78, 126.102, OUT, F1
10045.5332, 10045.53, 4.36, 2.49, 114.872, OUT, F2
10038.6357, 10038.64, 4.16, 2.97, 122.974, OUT, F0
10038.2236, 10038.22, -3.03, -5.45, 118.164, OUT, F0
10036.9688, 10036.97, 2.19, 1.65, 143.746, OUT, F1
10030.9639, 10030.96, -4.07, -0.58, 132.184, OUT, F0
10009.8213, 10009.82, 5.48, -0.55, 143.746, OUT, F1
10004.7695, 10004.77, -2.35, -4.70, 85.241, OUT, F1
9996.7188, 9996.72, 1.19, -1.19, 126.102, OUT, F2
