Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
8854.2021, 8854.20, 0.00, 3.29, 130.684, OUT, F0
8838.4600, 8838.46, -0.94, 0.00, 108.060, OUT, F1
8829.4385, 8829.44, -1.41, 2.35, 109.793, OUT, F2
8828.2305, 8828.23, 1.41, -2.35, 113.199, OUT, F1
8815.6162, 8815.62, -4.23, -3.29, 109.793, OUT, F2
8802.0498, 8802.05, -0.94, -4.23, 78.769, OUT, F1
8797.4590, 8797.46, 4.70, 0.94, 122.974, OUT, F1
8796.7412, 8796.74, -3.76, -2.35, 130.684, OUT, F0
8789.7588, 8789.76, 0.00, 0.00, 127.643, OUT, F1
8785.7109, 8785.71, -7.05, -4.23, 116.527, OUT, F0
8783.0752, 8783.08, 0.00, -4.23, 99.047, OUT, F2
8777.0635, 8777.06, 1.88, 2.35, 113.199, OUT, F1
8746.1846, 8746.18, 5.64, 1.88, 127.643, OUT, F1
8728.3750, 8728.38, 5.64, 1.41, 136.608, OUT, F1
8719.7588, 8719.76, 4.23, -3.76, 87.315, OUT, F2
8717.0781, 8717.08, 1.88, -1.88, 139.497, OUT, F0
8707.6729, 8707.67, 5.64, -3.29, 127.643, OUT, F1
8693.4580, 8693.46, -4.23, -3.29, 127.643, OUT, F1
8675.3809, 8675.38, -2.35, 3.76, 104.527, OUT, F2
8670.6514, 8670.65, 2.82, -4.70, 108.060, OUT, F1
8667.2275, 8667.23, 4.70, -0.47, 149.266, OUT, F1
8662.1992, 8662.20, 3.29, 3.29, 99.047, OUT, F2
8657.8789, 8657.88, 2.82, 2.82, 97.168, OUT, F1
8645.9756, 8645.98, -5.64, 0.94, 150.621, OUT, F2
8638.1182, 8638.12, 2.35, 2.82, 97.168, OUT, F1
8634.8242, 8634.82, 1.88, -4.70, 91.354, OUT, F1
8626.3340, 8626.33, -6.58, -0.94, 139.497, OUT, F0
8621.1953, 8621.20, -1.41, 1.88, 122.974, OUT, F1
8619.4004, 8619.40, -5.64, 0.94, 126.102, OUT, F0
8601.0898, 8601.09, -1.88, -3.29, 126.102, OUT, F0
8591.9697, 8591.97, -0.47, -1.41, 163.694, OUT, F0
8583.4238, 8583.42, -4.70, 0.00, 146.526, OUT, F2
8581.0752, 8581.08, 4.70, -3.29, 132.184, OUT, F1
8574.2627, 8574.26, -0.94, -1.88, 97.168, OUT, F1
8568.7803, 8568.78, -7.52, 1.88, 113.199, OUT, F1
8560.4414, 8560.44, -4.23, 0.00, 135.146, OUT, F0
8559.6904, 8559.69, 2.82, 4.23, 80.970, OUT, F2
8555.1689, 8555.17, -2.35, -0.94, 108.060, OUT, F1
8553.4297, 8553.43, 0.00, 4.23, 87.315, OUT, F2
8539.9189, 8539.92, 1.41, 2.35, 126.102, OUT, F0
8535.7539, 8535.75, -7.05, 2.35, 126.102, OUT, F0
8518.3428, 8518.34, 0.94, 4.23, 106.304, OUT, F0
8510.4609, 8510.46, -3.76, -3.76, 104.527, OUT, F2
8506.1309, 8506.13, 4.23, 0.00, 130.684, OUT, F0
8504.2314, 8504.23, -3.29, -2.82, 109.793, OUT, F2
8492.1465, 8492.15, -5.17, 0.00, 146.526, OUT, F2
8488.6523, 8488.65, 0.47, -0.47, 122.974, OUT, F1
8484.3682, 8484.37, -1.41, 4.70, 113.199, OUT, F1
8483.8535, 8483.85, -2.82, 2.35, 126.102, OUT, F0
8481.8838, 8481.88, 3.76, 5.17, 106.304, OUT, F0
8469.6133, 8469.61, 4.70, 1.41, 129.170, OUT, F2
8450.0713, 8450.07, -1.41, -5.17, 78.769, OUT, F1
8443.9336, 8443.93, 5.17, 4.70, 106.304, OUT, F0
8441.3623, 8441.36, -1.41, 0.94, 124.545, OUT, F2
8440.0537, 8440.05, -4.70, 4.70, 124.545, OUT, F2
8433.6885, 8433.69, -4.70, 3.29, 126.102, OUT, F0
8433.1182, 8433.12, -7.05, 1.41, 127.643, OUT, F1
8430.3359, 8430.34, 6.58, -0.94, 122.974, OUT, F1
8425.1377, 8425.14, 3.29, 4.23, 80.970, OUT, F2
8399.6006, 8399.60, 6.11, -0.47, 129.170, OUT, F2
8382.0928, 8382.09, 2.82, 2.35, 119.784, OUT, F2
8367.2686, 8367.27, -2.82, -1.41, 108.060, OUT, F1
8366.8389, 8366.84, -4.70, -2.35, 130.684, OUT, F0
8364.3613, 8364.36, -2.35, 3.29, 121.387, OUT, F0
8357.5215, 8357.52, -5.64, 0.00, 145.141, OUT, F1
8350.3584, 8350.36, 1.88, -2.35, 130.684, OUT, F0
8347.4512, 8347.45, 4.70, -2.82, 132.184, OUT, F1
8341.6797, 8341.68, 3.29, 3.76, 80.970, OUT, F2
8333.6982, 8333.70, -2.35, 4.70, 116.527, OUT, F0
8328.4688, 8328.47, 1.41, 1.41, 124.545, OUT, F2
8323.8789, 8323.88, 2.82, -2.82, 114.872, OUT, F2
8321.6592, 8321.66, 1.41, -1.41, 129.170, OUT, F2
8314.7207, 8314.72, -4.70, -1.88, 135.146, OUT, F0
8310.4805, 8310.48, 7.05, 0.94, 61.753, OUT, F0
8307.2715, 8307.27, -7.99, -0.47, 143.746, OUT, F0
8306.6055, 8306.61, -1.88, 2.35, 109.793, OUT, F2
8300.0928, 8300.09, 0.94, 3.29, 116.527, OUT, F0
8297.5361, 8297.54, -0.94, 3.76, 93.323, OUT, F2
8277.1133, 8277.11, 2.35, -2.82, 111.506, OUT, F0
8277.0586, 8277.06, -3.76, 0.94, 126.102, OUT, F0
8275.5479, 8275.55, 5.17, -4.23, 122.974, OUT, F1
8274.0703, 8274.07, -6.58, -0.47, 127.643, OUT, F1
8271.1826, 8271.18, 0.94, 4.70, 106.304, OUT, F0
8267.6162, 8267.62, 5.17, -3.29, 119.784, OUT, F2
8261.5859, 8261.59, -1.88, -1.88, 143.746, OUT, F0
8259.6475, 8259.65, -3.76, 1.41, 129.170, OUT, F2
8258.6074, 8258.61, -7.52, 0.47, 138.058, OUT, F2
8233.4678, 8233.47, -0.47, -2.82, 85.241, OUT, F1
8226.1699, 8226.17, -3.29, 0.94, 130.684, OUT, F0
8220.8428, 8220.84, -0.94, -5.17, 87.315, OUT, F2
8213.1494, 8213.15, 5.17, 4.70, 66.953, OUT, F2
8204.9209, 8204.92, 1.41, 1.88, 130.684, OUT, F0
8204.3838, 8204.38, 5.17, 0.00, 126.102, OUT, F0
8199.2949, 8199.29, 2.82, 1.88, 127.643, OUT, F1
8165.8970, 8165.90, 3.76, 3.29, 111.506, OUT, F0
8161.7334, 8161.73, -0.47, -0.94, 108.060, OUT, F1
8161.2012, 8161.20, -7.52, 0.94, 133.671, OUT, F2
8156.3657, 8156.37, 6.11, -1.41, 129.170, OUT, F2
8146.8599, 8146.86, -1.88, 3.76, 111.506, OUT, F0
8132.9409, 8132.94, -2.82, -0.47, 113.199, OUT, F1
8131.1934, 8131.19, 0.00, 4.70, 106.304, OUT, F0
8124.7207, 8124.72, 1.41, -4.70, 106.304, OUT, F0
8102.2500, 8102.25, -6.58, -2.35, 113.199, OUT, F1
8097.9287, 8097.93, 5.17, 5.17, 95.260, OUT, F0
8095.3364, 8095.34, -7.05, -3.76, 121.387, OUT, F0
8058.2539, 8058.25, 4.70, -1.88, 133.671, OUT, F2
8050.6128, 8050.61, 2.82, 3.29, 109.793, OUT, F2
8050.0356, 8050.04, -0.47, -5.64, 78.769, OUT, F1
