Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
28.500, 100.000, 100.000, 31.356, 2.462, 24.091, 20.103, 22.713
28.600, 100.000, 100.000, 31.333, 2.456, 24.039, 20.089, 22.653
28.700, 100.000, 100.000, 31.333, 2.446, 23.981, 20.077, 22.593
28.800, 100.000, 100.000, 31.321, 2.439, 23.939, 20.065, 22.544
28.900, 100.000, 100.000, 31.309, 2.430, 23.892, 20.050, 22.484
29.000, 100.000, 100.000, 31.303, 2.417, 23.861, 20.037, 22.439
29.100, 100.000, 100.000, 31.279, 2.405, 23.814, 20.024, 22.373
29.200, 100.000, 100.000, 31.279, 2.395, 23.766, 20.010, 22.325
29.300, 100.000, 100.000, 31.273, 2.386, 23.751, 19.997, 22.280
29.400, 100.000, 100.000, 31.249, 2.377, 23.693, 19.985, 22.220
29.500, 100.000, 100.000, 31.225, 2.367, 23.635, 19.972, 22.167
29.600, 100.000, 100.000, 31.214, 2.355, 23.578, 19.958, 22.115
29.700, 100.000, 100.000, 31.190, 2.348, 23.525, 19.945, 22.068
29.800, 100.000, 100.000, 31.166, 2.340, 23.473, 19.931, 21.998
29.900, 100.000, 100.000, 31.154, 2.332, 23.442, 19.918, 21.955
30.000, 100.000, 100.000, 31.142, 2.325, 23.373, 19.904, 21.880
30.100, 100.000, 100.000, 31.124, 2.315, 23.347, 19.890, 21.825
30.200, 100.000, 100.000, 31.112, 2.310, 23.321, 19.876, 21.794
30.300, 100.000, 100.000, 31.077, 2.300, 23.295, 19.863, 21.749
30.400, 100.000, 100.000, 31.065, 2.289, 23.258, 19.852, 21.711
30.500, 100.000, 100.000, 31.047, 2.282, 23.190, 19.839, 21.648
30.600, 100.000, 100.000, 31.017, 2.276, 23.127, 19.826, 21.600
30.700, 100.000, 100.000, 30.993, 2.268, 23.080, 19.814, 21.538
30.800, 100.000, 100.000, 30.957, 2.258, 22.986, 19.803, 21.450
30.900, 100.000, 100.000, 30.940, 2.246, 22.939, 19.790, 21.392
31.000, 100.000, 100.000, 30.922, 2.240, 22.881, 19.777, 21.332
31.100, 100.000, 100.000, 30.916, 2.233, 22.844, 19.765, 21.289
31.200, 100.000, 100.000, 30.898, 2.224, 22.808, 19.752, 21.248
31.300, 100.000, 100.000, 30.880, 2.217, 22.787, 19.740, 21.215
31.400, 100.000, 100.000, 30.850, 2.208, 22.745, 19.727, 21.159
31.500, 100.000, 100.000, 30.821, 2.199, 22.698, 19.714, 21.106
31.600, 100.000, 100.000, 30.803, 2.196, 22.666, 19.702, 21.058
31.700, 100.000, 100.000, 30.767, 2.188, 22.598, 19.688, 21.001
31.800, 100.000, 100.000, 30.749, 2.181, 22.541, 19.676, 20.949
31.900, 100.000, 100.000, 30.743, 2.176, 22.499, 19.663, 20.889
32.000, 100.000, 100.000, 30.713, 2.168, 22.462, 19.651, 20.838
32.100, 100.000, 100.000, 30.690, 2.157, 22.420, 19.639, 20.795
32.200, 100.000, 100.000, 30.666, 2.149, 22.389, 19.627, 20.741
32.300, 100.000, 100.000, 30.654, 2.141, 22.373, 19.615, 20.702
32.400, 100.000, 100.000, 30.636, 2.133, 22.336, 19.603, 20.642
32.500, 100.000, 100.000, 30.618, 2.123, 22.268, 19.593, 20.586
32.600, 100.000, 100.000, 30.594, 2.119, 22.200, 19.583, 20.535
32.700, 100.000, 100.000, 30.576, 2.113, 22.179, 19.570, 20.500
32.800, 100.000, 100.000, 30.547, 2.104, 22.142, 19.558, 20.446
32.900, 100.000, 100.000, 30.535, 2.097, 22.111, 19.547, 20.395
33.000, 100.000, 100.000, 30.505, 2.091, 22.090, 19.535, 20.343
33.100, 100.000, 100.000, 30.469, 2.081, 22.022, 19.523, 20.279
33.200, 100.000, 100.000, 30.451, 2.072, 21.991, 19.512, 20.224
33.300, 100.000, 100.000, 30.433, 2.064, 21.970, 19.501, 20.170
33.400, 100.000, 100.000, 30.416, 2.056, 21.922, 19.488, 20.133
33.500, 100.000, 100.000, 30.398, 2.050, 21.881, 19.479, 20.071
33.600, 100.000, 100.000, 30.374, 2.042, 21.854, 19.469, 20.028
33.700, 100.000, 100.000, 30.350, 2.038, 21.797, 19.457, 19.962
33.800, 100.000, 100.000, 30.332, 2.030, 21.760, 19.445, 19.917
33.900, 100.000, 100.000, 30.297, 2.022, 21.687, 19.434, 19.865
34.000, 100.000, 100.000, 30.279, 2.016, 21.661, 19.423, 19.832
34.100, 100.000, 100.000, 30.279, 2.008, 21.598, 19.413, 19.773
34.200, 100.000, 100.000, 30.261, 2.003, 21.572, 19.401, 19.723
34.300, 100.000, 100.000, 30.249, 1.997, 21.524, 19.390, 19.659
34.400, 100.000, 100.000, 30.213, 1.991, 21.472, 19.380, 19.589
34.500, 100.000, 100.000, 30.201, 1.984, 21.404, 19.369, 19.521
34.600, 100.000, 100.000, 30.177, 1.978, 21.367, 19.358, 19.488
34.700, 100.000, 100.000, 30.148, 1.971, 21.336, 19.348, 19.443
34.800, 100.000, 100.000, 30.130, 1.963, 21.315, 19.338, 19.402
34.900, 100.000, 100.000, 30.112, 1.955, 21.273, 19.327, 19.346
