Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
10411.2559, 10411.26, 0.51, -2.53, 97.168, OUT, F1
10407.5020, 10407.50, -3.01, 3.01, 99.047, OUT, F0
10394.6299, 10394.63, -1.52, 3.54, 97.168, OUT, F2
10378.7012, 10378.70, -4.72, 3.30, 124.545, OUT, F2
10370.1504, 10370.15, -3.01, -3.51, 99.047, OUT, F1
10356.0723, 10356.07, 2.66, -4.25, 87.315, OUT, F0
10350.9531, 10350.95, -2.15, -4.85, 85.241, OUT, F1
10314.6523, 10314.65, 0.50, -2.01, 99.047, OUT, F2
10303.7393, 10303.74, -3.30, 1.89, 124.545, OUT, F1
10274.2842, 10274.28, 2.13, -5.31, 87.315, OUT, F0
10253.2979, 10253.30, 6.23, 0.96, 129.170, OUT, F1
10252.1631, 10252.16, 4.66, 5.25, 71.858, OUT, F2
10248.7422, 10248.74, -4.01, 2.51, 99.047, OUT, F0
10245.5273, 10245.53, -1.93, -1.45, 133.671, OUT, F2
10229.9531, 10229.95, 0.50, 1.50, 99.047, OUT, F2
10225.5674, 10225.57, -1.50, -1.50, 99.047, OUT, F1
10188.9336, 10188.93, 2.01, -2.51, 99.047, OUT, F2
10158.6318, 10158.63, -5.41, 3.44, 143.746, OUT, F1
10142.5068, 10142.51, -9.15, -1.93, 133.671, OUT, F0
10134.6201, 10134.62, 5.01, 5.01, 99.047, OUT, F0
10128.4189, 10128.42, 3.51, 6.02, 99.047, OUT, F0
10102.7334, 10102.73, -1.00, 1.50, 99.047, OUT, F2
10090.2578, 10090.26, 4.25, -3.30, 124.545, OUT, F1
10081.7871, 10081.79, 2.01, 3.01, 99.047, OUT, F0
10062.8594, 10062.86, -2.01, 4.51, 99.047, OUT, F1
10035.4189, 10035.42, 1.64, -5.46, 83.127, OUT, F2
10026.3350, 10026.33, -3.78, 1.42, 124.545, OUT, F0
9998.0889, 9998.09, -0.53, 5.31, 87.315, OUT, F2
9994.2520, 9994.25, -2.51, 3.51, 99.047, OUT, F2
9971.5225, 9971.52, 3.51, 3.51, 99.047, OUT, F0
9961.8086, 9961.81, -1.50, 2.01, 99.047, OUT, F2
9947.1572, 9947.16, 1.98, 1.49, 145.141, OUT, F1
9943.1602, 9943.16, -3.85, 0.48, 133.671, OUT, F2
9936.5156, 9936.52, -1.50, -3.01, 99.047, OUT, F2
9930.3643, 9930.36, -4.79, 2.88, 129.170, OUT, F2
9928.8994, 9928.90, -0.48, -0.96, 129.170, OUT, F2
9923.2607, 9923.26, 4.34, 1.45, 133.671, OUT, F0
9907.6611, 9907.66, -0.50, 4.51, 99.047, OUT, F0
9895.6094, 9895.61, 1.50, 3.01, 99.047, OUT, F0
9884.8633, 9884.86, 0.00, -1.58, 161.145, OUT, F0
9863.6270, 9863.63, -1.44, -0.48, 129.170, OUT, F2
9859.1484, 9859.15, 4.78, 5.84, 87.315, OUT, F0
9827.1074, 9827.11, 0.53, 5.31, 87.315, OUT, F1
9812.5254, 9812.53, 4.25, 0.94, 124.545, OUT, F2
9812.4121, 9812.41, 4.22, -2.34, 122.974, OUT, F1
9805.4014, 9805.40, 1.62, -5.92, 85.241, OUT, F1
9785.6709, 9785.67, 4.01, 3.51, 99.047, OUT, F0
9771.8350, 9771.83, -2.13, -3.19, 87.315, OUT, F1
9771.2803, 9771.28, -3.51, 3.51, 99.047, OUT, F2
9738.7090, 9738.71, 0.48, -0.96, 129.170, OUT, F2
9726.6895, 9726.69, 0.50, -2.01, 99.047, OUT, F1
9725.9600, 9725.96, 5.01, -2.01, 99.047, OUT, F0
